City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
408,kencong,-8.2833,113.3667,77.13,72.0,67.0,0.16,ID,1702921977.0
409,zhosaly,45.4878,64.0781,32.36,95.0,100.0,19.06,KZ,1702921977.0
410,manokwari,-0.8667,134.0833,79.47,84.0,95.0,8.43,ID,1702921977.0
411,akjoujt,19.6969,-14.4164,73.15,9.0,47.0,19.37,MR,1702921978.0
412,zyryanskoye,56.8306,86.6258,-17.77,93.0,58.0,6.76,RU,1702921978.0
413,manismata,-2.4667,111.0333,74.57,97.0,100.0,0.89,ID,1702921978.0
414,bazar-korgon,41.0376,72.7459,37.53,73.0,100.0,5.21,KG,1702921979.0
415,pontchateau,47.4333,-2.0833,46.09,93.0,100.0,9.22,FR,1702921979.0
416,carutapera,-1.195,-46.02,88.12,60.0,93.0,8.55,BR,1702921979.0
417,margate,51.3813,1.3862,52.9,82.0,89.0,11.01,GB,1702921792.0
418,tadine,-21.55,167.8833,76.39,84.0,98.0,13.76,NC,1702921980.0
419,smithers,54.7804,-127.1743,21.52,100.0,100.0,0.0,CA,1702921812.0
420,saint-pierre,-21.3393,55.4781,82.08,78.0,0.0,2.3,RE,1702921981.0
421,san luis del palmar,-27.5079,-58.5545,84.15,41.0,100.0,10.22,AR,1702921981.0
422,lata,40.1629,-8.3327,52.81,71.0,0.0,2.04,PT,1702921981.0
423,hithadhoo,-0.6,73.0833,82.99,77.0,48.0,8.52,MV,1702921982.0
424,kayangel,8.0823,134.7173,82.67,76.0,28.0,14.9,PW,1702921982.0
425,parun,35.4207,70.9221,24.42,30.0,1.0,9.08,AF,1702921982.0
426,baise city,23.8997,106.6133,52.34,99.0,100.0,1.92,CN,1702921983.0
427,touros,-5.1989,-35.4608,83.07,69.0,100.0,10.11,BR,1702921983.0
428,at taj,24.2049,23.2857,60.94,39.0,1.0,13.24,LY,1702921983.0
429,bardai,11.65,7.2333,75.63,20.0,2.0,7.83,NG,1702921984.0
430,pocone,-16.2567,-56.6228,105.93,18.0,51.0,5.68,BR,1702921984.0
431,bogale,16.2833,95.4,74.5,72.0,58.0,6.64,MM,1702921985.0
432,formosa do rio preto,-11.0483,-45.1931,96.89,26.0,54.0,3.04,BR,1702921985.0
433,bandarbeyla,9.4942,50.8122,77.02,81.0,38.0,24.09,SO,1702921985.0
434,hadibu,12.65,54.0333,76.12,82.0,77.0,19.86,YE,1702921986.0
435,ed damer,17.5928,33.9592,80.83,26.0,7.0,2.17,SD,1702921986.0
436,levuka,50.1834,-105.4011,29.93,55.0,100.0,17.27,CA,1702921986.0
437,north bend,43.4065,-124.2243,54.07,87.0,100.0,11.5,US,1702921823.0
438,nemuro,43.3236,145.575,22.01,66.0,25.0,23.47,JP,1702921987.0
439,eyl,7.9803,49.8164,77.58,74.0,44.0,21.92,SO,1702921987.0
440,ingeniero jacobacci,-41.3427,-69.5448,61.36,18.0,9.0,7.0,AR,1702921988.0
441,bambari,5.768,20.6757,88.48,25.0,84.0,3.62,CF,1702921988.0
442,gay,51.4666,58.4552,18.12,96.0,82.0,7.14,RU,1702921988.0
443,lyantor,61.6195,72.1555,8.91,93.0,100.0,18.05,RU,1702921989.0
444,viedma,-40.8135,-62.9967,61.29,40.0,80.0,14.74,AR,1702921840.0
445,sayan,-11.1361,-77.1933,80.65,59.0,85.0,10.04,PE,1702921990.0
446,puerto deseado,-47.7503,-65.8938,60.06,54.0,14.0,17.49,AR,1702921990.0
447,ataq,14.5377,46.8319,56.48,20.0,29.0,1.14,YE,1702921990.0
448,queenstown,-31.8976,26.8753,61.03,82.0,71.0,10.31,ZA,1702921991.0
449,sligo,54.2697,-8.4694,48.13,88.0,0.0,8.05,IE,1702921819.0
450,richfield,44.8833,-93.283,21.56,53.0,0.0,16.11,US,1702921991.0
451,port hedland,-20.3167,118.5667,73.45,83.0,2.0,8.05,AU,1702921992.0
452,anloga,5.7947,0.8973,82.58,77.0,17.0,11.97,GH,1702921992.0
453,mandimba,,,,,,,,
454,acapulco de juarez,16.8634,-99.8901,85.82,66.0,20.0,2.3,MX,1702921915.0
455,rongelap,11.1635,166.8941,80.6,78.0,18.0,24.18,MH,1702921993.0
456,nouadhibou,20.931,-17.0347,73.38,33.0,71.0,11.5,MR,1702921994.0
457,mount isa,-20.7333,139.5,83.97,58.0,23.0,8.05,AU,1702921994.0
458,kumylzhenskaya,49.8809,42.5898,35.98,98.0,100.0,10.04,RU,1702921994.0
459,lodja,-3.4833,23.4333,71.8,98.0,100.0,2.26,CD,1702921995.0
460,hatillo,18.4863,-66.8254,89.11,71.0,19.0,11.01,PR,1702921995.0
461,cargados carajos,,,,,,,,
462,meadow lake,34.8014,-106.5436,51.66,53.0,78.0,2.86,US,1702921996.0
463,karaton,-6.3424,106.1045,75.07,85.0,49.0,6.08,ID,1702921996.0
464,kasungu,-13.0333,33.4833,76.26,61.0,35.0,7.54,MW,1702921996.0
465,husi,46.6736,28.0594,44.44,61.0,52.0,3.15,RO,1702921997.0
466,mossel bay,-34.1831,22.146,67.93,66.0,61.0,7.31,ZA,1702921997.0
467,lagunas,-5.2269,-75.6753,85.15,71.0,93.0,4.72,PE,1702921998.0
468,harstad,68.799,16.5293,33.8,94.0,97.0,21.99,NO,1702921998.0
469,howrah,22.5892,88.3103,62.6,67.0,20.0,3.44,IN,1702921998.0
470,birao,10.2849,22.7882,79.99,23.0,42.0,5.1,CF,1702921999.0
471,roccella ionica,38.322,16.4009,52.56,72.0,0.0,8.3,IT,1702921999.0
472,brokopondo,4.75,-55.1667,87.62,56.0,42.0,3.51,SR,1702921999.0
473,amarante do maranhao,-5.5667,-46.7422,95.31,36.0,92.0,0.83,BR,1702922000.0
474,noumea,-22.2763,166.4572,80.01,99.0,100.0,8.72,NC,1702921805.0
475,kembe,4.6228,21.8865,82.33,36.0,92.0,1.59,CF,1702922001.0
476,shouguang,36.88,118.7375,12.85,87.0,56.0,3.33,CN,1702922001.0
477,crane,31.3974,-102.3501,56.68,40.0,38.0,8.3,US,1702922001.0
478,krauchenwies,48.0333,9.25,40.17,95.0,0.0,4.27,DE,1702922002.0
479,labytnangi,66.6572,66.4183,3.99,96.0,100.0,8.84,RU,1702922002.0
480,maffra,-37.9667,146.9833,62.38,76.0,100.0,2.62,AU,1702922002.0
481,zalari,53.5584,102.5065,-13.95,100.0,99.0,2.33,RU,1702922003.0
482,port macquarie,-31.4333,152.9167,70.9,89.0,99.0,13.87,AU,1702922003.0
483,wolmaransstad,-27.1974,25.9831,76.86,46.0,89.0,6.31,ZA,1702922003.0
484,guerrero negro,27.9769,-114.0611,72.99,38.0,98.0,4.36,MX,1702922004.0
485,kununurra,-15.7667,128.7333,82.38,94.0,32.0,0.0,AU,1702921881.0
486,port glaud,,,,,,,,
487,san pedro pochutla,15.7333,-96.4667,85.71,47.0,7.0,6.49,MX,1702922005.0
488,xiuyan,40.2928,123.2744,10.04,95.0,94.0,2.15,CN,1702922005.0
489,truth or consequences,33.1284,-107.2528,50.23,34.0,0.0,4.61,US,1702922005.0
490,majene,-3.5403,118.9707,78.71,83.0,99.0,2.42,ID,1702922006.0
491,gori,41.9842,44.1158,34.5,83.0,70.0,6.4,GE,1702922006.0
492,kolonia town,6.964,158.206,82.4,78.0,75.0,8.05,FM,1702922006.0
493,pauini,-7.7136,-66.9764,93.38,46.0,78.0,4.18,BR,1702922007.0
494,okha,53.5739,142.9478,-1.17,92.0,100.0,21.54,RU,1702922007.0
495,lodwar,3.1191,35.5973,86.92,42.0,76.0,17.76,KE,1702922007.0
